,CNV,CNV,CNV,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep1,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D7_Rep2,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep1,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_D14_Rep2,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep1,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX7_Rep2,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep1,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2,norm_count_PLX14_Rep2
,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len,median,std,len
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Sep,,,,0.046410315606874156,0.15634148113106325,4.0,0.00842841905176754,0.2604903605423838,4.0,0.09361080666342084,0.12046447011037038,4.0,0.13471045671749807,0.31399848413720266,4.0,0.05113240408292108,0.21582538545822164,4.0,0.008397762984881676,0.26775863390082527,4.0,-1.0077008739072808,0.547350893263849,4.0,-1.2181264064193429,0.4947518682647627,4.0
4-Mar,,,,0.20076130399429593,0.24143658021964237,5.0,0.18836577431324644,0.13886723258519615,5.0,-0.22054396595323913,0.45955591997853884,5.0,-0.02604987348315354,0.3817095879183583,5.0,-0.06154117664702138,0.3433416489509972,5.0,0.15009825416061298,0.29060047254395643,5.0,-0.9328721965095005,0.7319890535490637,5.0,-1.3505159674090106,0.8706456798327246,5.0
4-Sep,,,,0.07347305785246645,0.37088776981101446,8.0,0.07113375187027654,0.1714458037358875,8.0,0.021822257609959567,0.31662501286395606,8.0,0.061284195436929687,0.4046194691523292,8.0,0.1015000121048425,0.2821482736563886,8.0,0.01959548426669368,0.3175708225887068,8.0,-0.8775572718090707,0.5026526930998094,8.0,-0.8409306516218531,0.603344579407467,8.0
5-Mar,,,,0.36482434399202285,0.23482707656754812,3.0,0.2708268079552288,0.10299288159173338,3.0,0.18089487428804793,0.4157146999478632,3.0,-0.12555838380692097,0.3660432468694131,3.0,-0.23270053240710134,0.3094656525541672,3.0,0.10740282757264616,0.4558545533356974,3.0,-1.999521918665524,1.5516404112460476,3.0,-1.6271670632092479,1.2677027105601915,3.0
5-Sep,,,,-0.20485331070351342,0.07091730199358955,5.0,-0.16660299666858364,0.16620846085202504,5.0,-0.363972188747706,0.0954207164493925,5.0,-0.08094183788126841,0.16053045322764767,5.0,-0.19697507194539876,0.13265679942345507,5.0,-0.13933059281588067,0.1243795688272684,5.0,-0.927777723579816,0.43160984407606456,5.0,-1.3963629551043444,0.40800748325791225,5.0
6-Mar,,,,-0.08067095555798501,0.6466772636748078,4.0,0.08183867933369356,0.49170574536326406,4.0,0.09596148096375048,0.6902633755532677,4.0,-0.3452519729995705,0.6317555648867339,4.0,-0.4440065106638946,0.3527440247012676,4.0,-0.33422171261840533,0.41935164708689265,4.0,-1.1369166756747258,0.24124346001039926,4.0,-1.2487049573220568,0.274293534811941,4.0
6-Sep,,,,0.31602418209460126,0.11448742276448215,4.0,0.2082261567652319,0.1631028193997475,4.0,0.5033527903581362,0.14691732563442653,4.0,0.17367877307633067,0.24757226784326977,4.0,0.36789360082895944,0.14253980007763908,4.0,0.25291245289183106,0.116103184312435,4.0,-0.4901972307463417,0.334552605779817,4.0,-0.40973949660659637,0.3863525132303886,4.0
7-Mar,,,,-0.1031940534624522,0.37034263226624564,6.0,-0.141245432661968,0.2475136100479656,6.0,0.17651298263336912,0.6473796982767395,6.0,-0.3412029411857224,0.6917044813387225,6.0,-0.27003370707646723,0.41453306246516813,6.0,-0.21999032040229238,0.2699567290704392,6.0,-0.9530551253958759,0.3569289772456492,6.0,-0.9629911083583483,0.29223384167728994,6.0
8-Mar,,,,-0.043177227813336536,0.13976677967547166,4.0,-0.022047785243425325,0.03338308974949604,4.0,-0.04423516796116163,0.21350009660860386,4.0,-0.2209835283931419,0.3885496381188003,4.0,-0.06766230005153827,0.12283114910066817,4.0,0.002691232048277597,0.12139428483402262,4.0,-1.016383785127244,0.5707475080520384,4.0,-1.066329858557862,0.37108598691047806,4.0
8-Sep,,,,-0.022462019115870195,0.2990131802646057,8.0,-0.10688331796799301,0.283780382106238,8.0,-0.11248645559243088,0.4624548141564522,8.0,-0.03990373452734857,0.26501498272556706,8.0,-0.00972135543323272,0.34552420876983797,8.0,0.09657911425553976,0.33792192812165567,8.0,-0.6225156040550239,1.193240296764911,8.0,-1.1310782850135834,1.266600209263973,8.0
9-Mar,,,,-0.06313814313829545,0.38918266615380065,4.0,-0.3069757331648457,0.4614387208915475,4.0,-0.10111325152587641,0.4453997630537459,4.0,-0.3396484160350759,0.46773174660558703,4.0,-0.07907141815854347,0.5743522849447029,4.0,-0.09927122769656309,0.6433073362834426,4.0,-1.146681655797142,2.5006344723551894,4.0,-0.9832950817055985,2.484215690892594,4.0
9-Sep,,,,-0.13453643268743432,0.16391244851239223,10.0,-0.19188832949509468,0.16410277750514168,10.0,-0.36895873453058153,0.357017918640584,10.0,-0.16099677923931754,0.26418038907397806,10.0,-0.34012669974763643,0.23622942584182002,10.0,-0.30732669604080876,0.23014652266802316,10.0,-1.308991788008587,0.4396507121404488,10.0,-1.2880340679457767,0.40224301447210514,10.0
AAED1,,,,-0.5699835614940887,0.06813789873843273,2.0,-0.5819131110549323,0.29904096979798356,2.0,-0.3653101078866523,0.3048647082355966,2.0,-0.24534011187559188,0.39991795259558266,2.0,-0.37390244425783653,0.0052560622472277545,2.0,-0.6201767926152166,0.6678729315982194,2.0,-1.3870335185430918,0.49309299966376796,2.0,-1.4289276162924467,0.6623667800582809,2.0
AAGAB,,,,-0.3535263335226167,0.20484826605860287,2.0,-0.329346924882818,0.4888651666821905,2.0,-0.8957384622576875,0.5200967674313581,2.0,-0.8578212809549246,0.674889603803231,2.0,-0.09151904474555658,0.07458511550507094,2.0,-0.01950593636417995,0.07619028037519492,2.0,-1.1455317066764656,0.1350475631346311,2.0,-1.0327140348169956,0.03858238362674104,2.0
AARD,,,,0.40541255682878385,0.009258274562222137,3.0,0.22188791979596773,0.012099848727874117,3.0,0.13608295844890245,0.3965689619921256,3.0,0.5966898408412449,0.07806360426312502,3.0,0.43336514142028243,0.1970601619497802,3.0,0.2733153876138672,0.23951002343465236,3.0,-0.32283124628915955,0.81327125057836,3.0,0.06426713943120889,0.47751207753857383,3.0
ABHD16A,,,,0.04618978284428033,0.30957308702278347,7.0,0.11968867908159977,0.428146528010679,7.0,-0.16883880588878403,0.5649766956766146,7.0,0.18945748276889965,0.4689925100539687,7.0,0.32227463915720594,0.5572146864222008,7.0,0.12012096809102121,0.3666485113953565,7.0,-0.5421674954735636,0.7812996248436762,7.0,-0.42754670363878716,0.75264095543348,7.0
ABHD16B,,,,-0.002448520759047529,0.33635963372117295,2.0,0.26221400528390826,0.09841271715312044,2.0,0.14213279920653524,0.3800156323562927,2.0,0.19676823774694657,0.1177639741873444,2.0,0.09249253699513194,0.03814353980873443,2.0,-0.04721450610345715,0.13690487738394796,2.0,-0.7395880438639004,0.09963617026296043,2.0,-0.7339316115902728,0.16233306820623364,2.0
ABRACL,,,,-0.18405201155291587,0.36958317353262277,4.0,0.045057338116141286,0.44906297310896043,4.0,0.016780141013006275,0.3529193441626997,4.0,-0.3202952753385754,0.4436120054260451,4.0,-0.24482054772420855,0.4848198378754005,4.0,-0.1803197003134714,0.45309554254175843,4.0,-1.3296514287078378,0.5724472150380642,4.0,-1.3387308803016258,0.7258403410603343,4.0
AC003682.1,,,,-0.05688167583042561,0.43072151768678835,4.0,-0.0707120228030359,0.29795400904232283,4.0,0.061010825041323824,0.42289143320806727,4.0,-0.3718493617994011,0.5961410902695576,4.0,-0.1299479101103357,0.4141042835278377,4.0,-0.1432970201570408,0.42524059313352386,4.0,-0.9167664496708147,0.372399230246537,4.0,-0.811268008894054,0.6381581388607194,4.0
AC004381.6,,,,-0.12750317202304506,0.6540773019143605,4.0,-0.22956527364946236,0.5530883833282183,4.0,-0.2022079362703892,0.6173291846503134,4.0,-0.32273355845860685,0.4601915261376032,4.0,-0.06812285500541969,0.743341617728801,4.0,-0.1666552893289929,0.5641906501108835,4.0,-0.9960423907762821,0.5353548054624682,4.0,-1.0859141082517292,0.4309729617670363,4.0
AC005324.8-001,,,,-0.23918534753465728,0.4805709197484682,3.0,-0.34607730057133335,0.4902046195027509,3.0,-1.1906947012573914,0.7835666253103781,3.0,-0.6599841189547726,0.44632773673496445,3.0,-0.29012676086171113,0.5302530184169094,3.0,-0.500008971468472,0.27585816885854453,3.0,-1.6774667753251384,0.7486549270293841,3.0,-1.1022560762109055,0.5031696830564666,3.0
AC006276.7,,,,0.2529196149272936,0.12276368783055731,3.0,0.05068124975181113,0.1869246510722739,3.0,0.556778747890417,0.1637558249710297,3.0,0.3676827738001854,0.37978607582121265,3.0,0.04923104545800455,0.14317192714372856,3.0,0.2197870188677589,0.09102985577988158,3.0,-0.7424080412752394,0.19506484374353703,3.0,-0.36554924334943445,0.2042445287498438,3.0
AC007228.1,,,,0.1744325754417822,0.3948221239463734,3.0,-0.08294004505731566,0.5036663415754,3.0,-0.2933753137940791,0.6052229370920287,3.0,-0.3804203029068178,0.5393515500513998,3.0,-0.1818293350699813,0.5362106909602244,3.0,-0.23047561223809937,0.4574326227064466,3.0,-1.0204468014229386,1.2440120462857085,3.0,-1.1988239431678782,1.381126149361641,3.0
AC008073.5,,,,-0.30580927118321055,0.6390726544312665,6.0,-0.588883393470578,0.5144507492631686,6.0,-0.5235974708666132,0.6617895106653153,6.0,-0.630855346463543,0.6052895922667592,6.0,-0.5803310030744195,0.5302273331711117,6.0,-0.6235897403688251,0.4898983559509632,6.0,-1.4375968463353264,0.6220248597655691,6.0,-1.4359549668193368,0.7350879326939341,6.0
AC011443.1,,,,-0.0269412301051075,0.2645979121555997,4.0,-0.01853841434158036,0.1948806614723569,4.0,0.05922919606434857,0.2017139077805984,4.0,0.11696414314734216,0.3154522112163438,4.0,0.01416045493506499,0.10992943946902015,4.0,-0.06718557209522377,0.4083728072348988,4.0,-0.9562943790607545,0.4094284678843756,4.0,-0.8843630681394289,0.5159672400800581,4.0
AC011498.1,,,,-0.16048220813053535,0.2796030257765549,3.0,-0.1145825009397053,0.25385576056231623,3.0,0.09347060696882685,0.2759554295457889,3.0,-0.29694381874765297,0.2693982376388884,3.0,0.31629249539933607,0.47461453265074033,3.0,0.04847576241806289,0.2554034470232143,3.0,-0.7647985451391861,0.16092160925082943,3.0,-0.6058035950895093,0.12065288256372365,3.0
AC013461.1,,,,-0.02724059526766133,0.1618508300264262,4.0,-0.02403417435036969,0.08874062026517333,4.0,-0.08309264295901969,0.19258512847161438,4.0,-0.07204679031830045,0.08897188600722451,4.0,-0.13187301011569544,0.28388718274188884,4.0,-0.016693901179919687,0.13928903653854166,4.0,-0.4742135094056775,0.29523711019819476,4.0,-0.4533593637476321,0.3303903730506683,4.0
AC021066.1,,,,-0.38037995024646776,0.7657541171821451,2.0,-0.017835812272952806,0.45981062039545084,2.0,-0.2898266069611702,0.6024683916715751,2.0,0.25508983260700807,0.25996686208209,2.0,0.12197556479612524,0.07526472570007237,2.0,-0.09984609662777125,0.14515019037983384,2.0,-0.4205072452173425,1.0179370342168321,2.0,-0.40461031969723515,0.36144167009060435,2.0
AC022601.1,,,,0.470965429038529,0.16191704789969696,2.0,0.41133184277735113,0.18492162780828766,2.0,0.5055720705283382,0.10722423412312228,2.0,0.46055395768533014,0.1905233514579477,2.0,0.3864744665956704,0.23021615154295216,2.0,0.3957866884895659,0.21056638509642156,2.0,-0.7597141696187061,0.10633033472606461,2.0,-0.7439938098044697,0.4066216988230002,2.0
AC024575.1,,,,-0.027334911556666473,0.15330595783851522,4.0,-0.01151756597831062,0.24420190499483196,4.0,-0.1673616062086031,0.4820357896393996,4.0,0.25804678684575477,0.33380025630620036,4.0,-0.1169936584065546,0.1598235991256972,4.0,-0.08618414947857236,0.18926657932206395,4.0,-0.5984868791075373,0.14294641171582223,4.0,-0.6260004873286731,0.4417121035035541,4.0
AC026458.1,,,,0.12141470865498455,0.21298060335311297,4.0,0.0238775511087473,0.30591336755556636,4.0,-0.07500436748991464,0.5002003203861646,4.0,0.052270233813931005,0.2241387533411214,4.0,-0.056628500237163135,0.3985814544381927,4.0,0.09325732605041273,0.37525732294961733,4.0,-0.9981087350352518,0.8333983678356811,4.0,-0.8705796234336012,0.8291705463217143,4.0
AC068506.2,,,,0.028668394602828922,0.161068528977477,3.0,0.10613324549773319,0.024006283939357588,3.0,0.23013842754476285,0.1794671035906671,3.0,-0.05744598546054973,0.08030595902815625,3.0,0.279117189507641,0.1703567692261885,3.0,0.11256010857917156,0.10145468039726599,3.0,-0.6359133029301752,0.4611899387442016,3.0,-0.6079313809024603,0.3650927390920395,3.0
AC069154.2,,,,0.18188729354610103,0.3495214119503105,2.0,0.04474123031854241,0.2836151075915298,2.0,0.17923436423854028,0.32249617427825483,2.0,0.27905585950795003,0.4165239293322172,2.0,0.1595330959509165,0.12290676948106656,2.0,0.18339831715244997,0.11628070854620283,2.0,-0.14782859870472,0.30456097872960525,2.0,-0.02496663415258578,0.14365761483594502,2.0
AC069257.9,,,,-0.04498502931206116,0.3324943156879786,5.0,-0.08712330451573151,0.27657841278845247,5.0,-0.16566370775837086,0.4063559284502358,5.0,-0.3073241266824667,0.5488546907650895,5.0,-0.014931557752169415,0.23152536016319875,5.0,-0.030344259060336862,0.3187841467133733,5.0,-0.713701898137556,0.6622401659425913,5.0,-0.7542581161955151,0.5572036798379463,5.0
AC087645.2,,,,0.3252020991268911,0.3399553833655565,2.0,0.258154228775751,0.16224768685598906,2.0,0.16393628667197707,0.4280689140723338,2.0,-0.008524063285445277,0.494629993248346,2.0,0.054504334160721174,0.4166805607821172,2.0,0.11074775235707826,0.48143130304504445,2.0,-1.3680706352541283,0.0640457586569337,2.0,-1.2084218946765293,0.10462767913889585,2.0
